Querying Data... done
Id,Name,CreatedDate,LastModifiedDate
a08ct00000MEBtNAAX,CAPITAL COCINAS Y EQUIPOS,2026-03-04T21:43:07.000+0000,2026-04-21T15:11:52.000+0000
a08ct00000NH0cfAAD,DANIEL,2026-03-19T22:43:04.000+0000,2026-03-19T22:45:59.000+0000
a08ct00000NnToPAAV,POOL IL02 SOLUTIONS S.A. DE C.V.,2026-03-27T02:37:40.000+0000,2026-04-18T18:03:24.000+0000
a08ct00000O6kOvAAJ,sss,2026-03-31T18:41:18.000+0000,2026-03-31T18:41:18.000+0000
a08ct00000PUlO6AAL,Precalificacion test,2026-04-22T01:07:55.000+0000,2026-04-22T01:13:43.000+0000
